park_id,unit_id,park_name,web_alias,county,district,acreage,address,city,state,latitude,longitude,gps_source,has_gps,park_page_url,image_url,image_source,image_license,image_attribution,description,top_plants,top_plant_images,top_animals,top_animal_images,public_access,data_source,updated_at
fort-loudoun-state-historic-park,29,Fort Loudoun State Historic Park,fort-loudoun-state-historic-park,,,915.46,,,TN,35.584507,-84.208078,polygon_centroid,true,https://tnstateparks.com/parks/fort-loudoun-state-historic-park,,,,,Tennessee state park. About 915 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
fort-pillow-state-historic-park,31,Fort Pillow State Historic Park,fort-pillow-state-historic-park,,,1724.64,,,TN,35.633029,-89.851123,polygon_centroid,true,https://tnstateparks.com/parks/fort-pillow-state-historic-park,,,,,Tennessee state park. About 1725 acres. Access: public.,,,Tylozygus bifidus | Common Sootywing | Russet-tipped Clubtail | Exposed Bird Dropping Moth, |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
frozen-head-state-park,32,Frozen Head State Park,frozen-head-state-park,,,23123.61,,,TN,36.106625,-84.500832,polygon_centroid,true,https://tnstateparks.com/parks/frozen-head-state-park,,,,,Tennessee state park. About 23124 acres. Access: public.,,,Cecropia Moth | Basswood Leafroller Moth | Broad-headed Sharpshooter | Small-eyed Sphinx Moth, |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
harpeth-river-state-park,35,Harpeth River State Park,harpeth-river-state-park,,,520.39,,,TN,36.108741,-87.056758,polygon_centroid,true,https://tnstateparks.com/parks/harpeth-river-state-park,,,,,Tennessee state park. About 520 acres. Access: public.,,,Cave Salamander | Northern Zigzag Salamander | Eastern Chipmunk | Blackpoll Warbler | Blackburnian Warbler | Gemmed Satyr | Summer Azure | White M Hairstreak, |  |  |  |  |  |  | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
harrison-bay-state-park,45,Harrison Bay State Park,harrison-bay-state-park,,,1763.59,,,TN,35.176080,-85.120784,polygon_centroid,true,https://tnstateparks.com/parks/harrison-bay-state-park,,,,,Tennessee state park. About 1764 acres. Access: public.,,,American Bird Grasshopper | Aphrodite Fritillary, | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
henry-horton-state-park,46,Henry Horton State Park,henry-horton-state-park,,,1544.29,,,TN,35.589101,-86.709278,polygon_centroid,true,https://tnstateparks.com/parks/henry-horton-state-park,,,,,Tennessee state park. About 1544 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
hiwassee-ocoee-scenic-river-state-park,47,Hiwassee/Ocoee Scenic River State Park,hiwassee-ocoee-scenic-river-state-park,,,107.31,,,TN,35.121212,-84.636701,polygon_centroid,true,https://tnstateparks.com/parks/hiwassee-ocoee-scenic-river-state-park,,,,,Tennessee state park. About 107 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
indian-mountain-state-park,50,Indian Mountain State Park,indian-mountain-state-park,,,208.25,,,TN,36.584498,-84.142229,polygon_centroid,true,https://tnstateparks.com/parks/indian-mountain-state-park,,,,,Tennessee state park. About 208 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
johnsonville-state-historic-park,51,Johnsonville State Historic Park,johnsonville-state-historic-park,,,1291.46,,,TN,36.030894,-87.895446,polygon_centroid,true,https://tnstateparks.com/parks/johnsonville-state-historic-park,,,,,Tennessee state park. About 1291 acres. Access: public.,,,Northern Zigzag Salamander | Carolina Grasshopper, | ,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
justin-p-wilson-cumberland-trail-state-park,15,Justin P. Wilson Cumberland Trail State Park,justin-p-wilson-cumberland-trail-state-park,,,31240.81,,,TN,35.656350,-84.977975,polygon_centroid,true,https://tnstateparks.com/parks/justin-p-wilson-cumberland-trail-state-park,,,,,Tennessee state park. About 31241 acres. Access: public.,,,,,public,Tennessee TDEC State Park Boundaries (Oct 2023),2026-06-29
